"HostName","ProcessName","ProcessId","CPU","WorkingSetMB","VirtualMemoryMB","StartTime"
"DESKTOP-NAB","AggregatorHost","7828","0","14.89","95.36",
"DESKTOP-NAB","ApplicationFrameHost","11592","0.42","62.55","473.13","9/14/2025 12:42:35 PM"
"DESKTOP-NAB","AutoHotkey64","8616","0.09","14","149.18","9/14/2025 12:41:58 PM"
"DESKTOP-NAB","backgroundTaskHost","2700","0.09","6.62","137.43","9/14/2025 4:33:16 PM"
"DESKTOP-NAB","backgroundTaskHost","24516","0.22","2.46","-1405.21","9/14/2025 1:03:16 PM"
"DESKTOP-NAB","backgroundTaskHost","25008","0.53","61.53","725.48","9/14/2025 4:18:29 PM"
"DESKTOP-NAB","backgroundTaskHost","25456","0.22","2.09","-1405.48","9/14/2025 2:50:47 PM"
"DESKTOP-NAB","chrome","2180","270.09","398.67","1056.95","9/14/2025 12:40:54 PM"
"DESKTOP-NAB","chrome","4128","27.02","66.64","594.83","9/14/2025 12:40:55 PM"
"DESKTOP-NAB","chrome","4396","0.56","73.66","1785.86","9/14/2025 5:02:44 PM"
"DESKTOP-NAB","chrome","6676","0.66","23.09","442.97","9/14/2025 12:40:55 PM"
"DESKTOP-NAB","chrome","8516","2.09","60.59","1794.98","9/14/2025 12:40:56 PM"
"DESKTOP-NAB","chrome","10308","1.02","74.3","1790.11","9/14/2025 4:58:52 PM"
"DESKTOP-NAB","chrome","11176","2.56","177.18","1799.11","9/14/2025 5:02:38 PM"
"DESKTOP-NAB","chrome","11696","19.09","222.09","145.18","9/14/2025 12:42:50 PM"
"DESKTOP-NAB","chrome","12780","162","217.54","1869.12","9/14/2025 12:40:55 PM"
"DESKTOP-NAB","chrome","13820","0.44","20.93","443.9","9/14/2025 12:49:28 PM"
"DESKTOP-NAB","chrome","15212","70.41","325.59","1879.51","9/14/2025 12:44:16 PM"
"DESKTOP-NAB","chrome","16548","0.05","39.3","1761.86","9/14/2025 5:02:44 PM"
"DESKTOP-NAB","chrome","16796","11.23","132.54","127.27","9/14/2025 12:42:53 PM"
"DESKTOP-NAB","chrome","16936","0.45","123.97","1797.36","9/14/2025 5:02:44 PM"
