"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","223","2203418210304","15556608","4710400","12992",,,,,,,,"Process","8",,,,,,"223","7828",".","0","",,,,,"12992","12992","4710400","4710400","133776","133776","4898816","4898816","28295168","28295168","112574464","2203430797312",,,"4710400","4710400",,"AggregatorHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"99987456","2203418210304","False",,,,"15556608","15556608",,
"ai","5","324","2203528232960","41811968","23285760","15640","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe","Microsoft Corporation","0.359375","0.20.5.0","0.20.5.0","Artificial Intelligence (AI) Host for the Microsoft? Windows? Operating System and Platform x64.","Artificial Intelligence","Process","8",,"False",,"2896","Microsoft.Win32.SafeHandles.SafeProcessHandle","324","13644",".","0","","System.Diagnostics.ProcessModule (ai.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15640","15640","23285760","23285760","251216","251216","23400448","23400448","41828352","41828352","218402816","2203536625664","True","Normal","23285760","23285760","00:00:00.2031250","ai","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 4:13:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3593750","00:00:00.1562500","210010112","2203528232960","False",,,,"41811968","41811968",,
"ApplicationFrameHost","5","530","2203814334464","65589248","65384448","27552","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.40625","10.0.26100.3912 (WinBuild.160101.0800)","10.0.26100.3912","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2764","Microsoft.Win32.SafeHandles.SafeProcessHandle","530","11592",".","262200","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27552","27552","65384448","65384448","725336","725336","68055040","68055040","68206592","68206592","621830144","2203940052992","True","Normal","65384448","65384448","00:00:00.2187500","ApplicationFrameHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 12:42:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.1875000","496111616","2203814334464","False",,,,"65589248","65589248",,
"audiodg","0","279","2203427291136","17051648","7757824","13688",,,"0.015625",,,,,"Process","8",,,,,,"279","14020",".","0","",,,,,"13688","13688","7757824","7757824","106640","106640","7798784","7798784","17072128","17072128","109592576","2203427815424",,,"7757824","7757824","00:00:00.0156250","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","9/14/2025 4:47:36 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","109068288","2203427291136","False",,,,"17051648","17051648",,
"AutoHotkey64","5","166","4451389440","14626816","2998272","12248","C:\Users\noah\AppData\Local\Programs\AutoHotkey\v2\AutoHotkey64.exe","AutoHotkey Foundation LLC","0.0625","2.0.19","2.0.19","AutoHotkey 64-bit","AutoHotkey","Process","8",,"False",,"1208","Microsoft.Win32.SafeHandles.SafeProcessHandle","166","8616",".","0","","System.Diagnostics.ProcessModule (AutoHotkey64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12248","12248","2998272","2998272","222000","222000","3321856","3321856","14626816","14626816","279601152","4574568448","True","Normal","2998272","2998272","00:00:00.0312500","AutoHotkey64","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 12:41:58 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","156422144","4451389440","False",,,,"14626816","14626816",,
"backgroundTaskHost","5","202","2203461808128","12849152","3420160","12248","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.078125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2000","Microsoft.Win32.SafeHandles.SafeProcessHandle","202","2700",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12248","12248","3420160","3420160","178624","178624","3420160","3420160","21700608","21700608","143585280","2203461808128","True","Normal","3420160","3420160","00:00:00.0312500","backgroundTaskHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 4:33:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0468750","143585280","2203461808128","False",,,,"12849152","12849152",,
"backgroundTaskHost","5","246","2203478863872","18243584","8466432","14968","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.140625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3324","Microsoft.Win32.SafeHandles.SafeProcessHandle","246","19532",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14968","14968","8466432","8466432","211584","211584","8466432","8466432","31821824","31821824","160641024","2203478863872","True","Normal","8466432","8466432","00:00:00.0625000","backgroundTaskHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 4:33:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0781250","160641024","2203478863872","False",,,,"18243584","18243584",,
"backgroundTaskHost","5","323","2481017630720","2461696","19673088","29776","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.21875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3380","Microsoft.Win32.SafeHandles.SafeProcessHandle","323","24516",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29776","29776","19673088","19673088","500408","500408","19673088","19673088","50806784","50806784","-1473466368","2481017630720","True","Normal","19673088","19673088","00:00:00.0937500","backgroundTaskHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 1:03:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1250000","-1473466368","2481017630720","False",,,,"2461696","2461696",,
"backgroundTaskHost","5","498","2204078944256","64397312","20205568","36904","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.5","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3360","Microsoft.Win32.SafeHandles.SafeProcessHandle","498","25008",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36904","36904","20205568","20205568","545096","545096","21716992","21716992","65990656","65990656","768835584","2204087058432","True","Normal","20205568","20205568","00:00:00.2031250","backgroundTaskHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 4:18:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.2968750","760721408","2204078944256","False",,,,"64397312","64397312",,
"backgroundTaskHost","5","327","2481017339904","2007040","19615744","29776","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0.21875","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"936","Microsoft.Win32.SafeHandles.SafeProcessHandle","327","25456",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29776","29776","19615744","19615744","501344","501344","19615744","19615744","50614272","50614272","-1473757184","2481017339904","True","Normal","19615744","19615744","00:00:00.0468750","backgroundTaskHost","63","True","5","System.Diagnostics.ProcessStartInfo","9/14/2025 2:50:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1718750","-1473757184","2481017339904","False",,,,"2007040","2007040",,
